iter	Passed	Remaining
0	1	1158
1	2	755
2	3	694
3	4	622
4	4	569
5	5	532
6	5	507
7	6	489
8	7	476
9	8	515
10	10	540
11	10	517
12	10	497
13	11	486
14	12	475
15	12	466
16	13	459
17	13	451
18	14	446
19	15	442
20	15	443
21	16	438
22	17	433
23	17	428
24	17	417
25	18	414
26	19	410
27	19	407
28	20	404
29	20	396
30	21	391
31	22	394
32	23	399
33	23	397
34	24	394
35	24	392
36	25	389
37	25	387
38	26	385
39	27	384
40	27	383
41	28	382
42	29	380
43	29	382
44	30	380
45	31	380
46	31	379
47	32	378
48	33	376
49	33	374
50	34	373
51	35	375
52	36	383
53	37	380
54	37	379
55	38	379
56	39	378
57	39	376
58	40	375
59	41	374
60	41	373
61	42	372
62	43	374
63	44	373
64	44	372
65	45	371
66	46	370
67	46	369
68	47	367
69	47	366
70	48	365
71	49	369
72	50	368
73	51	367
74	51	366
75	52	365
76	53	364
77	53	363
78	54	362
79	55	361
80	55	360
81	56	359
82	57	360
83	58	359
84	58	358
85	59	357
86	59	356
87	60	355
88	61	353
89	61	352
90	62	351
91	64	357
92	65	360
93	66	359
94	66	357
95	67	355
96	67	353
97	68	352
98	68	351
99	69	350
100	70	349
101	70	348
102	71	347
103	71	346
104	72	345
105	80	377
106	80	376
107	81	374
108	82	373
109	82	372
110	83	371
111	84	370
112	84	369
113	85	368
114	86	367
115	86	366
116	87	365
117	88	363
118	88	362
119	89	362
120	90	361
121	91	360
122	92	360
123	92	359
124	93	358
125	94	358
126	95	357
127	96	358
128	97	360
129	98	358
130	98	356
131	99	355
132	99	353
133	100	352
134	100	350
135	101	350
136	102	348
137	102	347
138	103	345
139	103	344
140	104	342
141	104	341
142	105	340
143	105	338
144	106	338
145	107	337
146	107	336
147	108	335
148	109	334
149	109	332
150	110	331
151	110	330
152	111	328
153	111	327
154	112	326
155	112	324
156	113	323
157	114	323
158	114	322
159	115	321
160	116	320
161	116	319
162	117	318
163	118	317
164	118	316
165	119	315
166	119	313
167	120	312
168	120	311
169	121	310
170	122	310
171	122	309
172	123	308
173	124	307
174	124	306
175	125	305
176	125	304
177	126	303
178	127	302
179	128	304
180	129	303
181	130	302
182	130	301
183	130	299
184	131	298
185	132	297
186	132	296
187	133	295
188	133	294
189	134	293
190	134	292
191	135	291
192	136	290
193	136	289
194	137	288
195	137	287
196	138	286
197	138	285
198	139	284
199	139	283
200	140	282
201	141	281
202	141	280
203	143	281
204	144	281
205	144	280
206	145	279
207	146	278
208	146	277
209	147	277
210	147	276
211	148	275
212	149	274
213	149	273
214	150	272
215	150	271
216	151	270
217	152	269
218	152	268
219	153	267
220	153	266
221	154	265
222	154	264
223	155	263
224	155	262
225	156	261
226	157	262
227	158	261
228	158	260
229	159	259
230	159	258
231	160	257
232	160	256
233	161	255
234	161	254
235	162	253
236	162	252
237	163	252
238	164	251
239	164	250
240	165	249
241	165	248
242	166	248
243	166	247
244	167	246
245	167	245
246	168	244
247	168	243
248	169	242
249	169	241
250	171	241
251	171	240
252	172	239
253	172	238
254	173	237
255	173	236
256	174	235
257	174	235
258	175	234
259	175	233
260	176	232
261	176	231
262	177	230
263	177	229
264	178	228
265	178	227
266	179	227
267	179	226
268	180	225
269	180	224
270	181	223
271	182	222
272	182	221
273	183	221
274	184	220
275	184	220
276	185	219
277	185	218
278	186	217
279	187	217
280	187	216
281	188	215
282	188	214
283	189	213
284	189	212
285	190	212
286	190	211
287	191	210
288	192	210
289	192	209
290	193	208
291	193	207
292	194	206
293	194	206
294	195	205
295	195	204
296	196	203
